600288,DHKJ,大恒科技,20001129
600289,YYXT,亿阳信通,20000720
600290,HYDQ,华仪电气,20001106
600291,XSGF,西水股份,20000731
600292,ZDYD,中电远达,20001101
600293,SXXC,三峡新材,20000919
600295,EEDS,鄂尔多斯,20010426
600297,GHQC,广汇汽车,20001116
600298,AQJM,安琪酵母,20000818
600299,LXXC,蓝星新材,20000420
600300,WWGF,维维股份,20000630
600301,*STNH,*ST南化,20000712
600302,BZGF,标准股份,20001213
600303,SGGF,曙光股份,20001226
600305,HSCY,恒顺醋业,20010206
600306,SYC,商业城,20001226
600307,JGHX,酒钢宏兴,20001220
600308,HTGF,华泰股份,20000928
600309,WHHX,万华化学,20010105
600310,GDDL,桂东电力,20010228
600311,RHSY,荣华实业,20010626
600312,PGDQ,平高电气,20010221
600313,NFZY,农发种业,20010119
600315,SHJH,上海家化,20010315
600316,HDHK,洪都航空,20001215
600317,YKG,营口港,20020131
600318,CDGF,巢东股份,20001208
600319,YXHX,亚星化学,20010326
600320,ZHZG,振华重工,20001221
600321,GDJS,国栋建设,20010524
600322,TFFZ,天房发展,20010910
600323,HLHJ,瀚蓝环境,20001225
600325,HFGF,华发股份,20040225
600326,XZTL,西藏天路,20010116
600327,DDF,大东方,20020625
600328,LTSY,兰太实业,20001222
600329,ZXYY,中新药业,20010606
600330,TTGF,天通股份,20010118
600331,HDGF,宏达股份,20011220
600332,BYS,白云山,20010206
600333,CCRQ,长春燃气,20001211
600335,GJQC,国机汽车,20010305
600336,AKM,澳柯玛,20001229
600337,MKJJ,美克家居,20001127
600338,XZZF,西藏珠峰,20001227
600339,TLGX,天利高新,20001225
600340,HXXF,华夏幸福,20031230
600343,HTDL,航天动力,20030408
600345,CJTX,长江通信,20001222
600346,DXS,大橡塑,20010820
600348,YQMY,阳泉煤业,20030821
600350,SDGS,山东高速,20020318
600351,YBYY,亚宝药业,20020926
600352,ZJLS,浙江龙盛,20030801
600353,XGGF,旭光股份,20021120
600354,DHZY,敦煌种业,20040115
600355,JLDZ,精伦电子,20020613
600356,HFZY,恒丰纸业,20010419
600358,GLLH,国旅联合,20000922
600359,XNKF,新农开发,19990429
600360,HWDZ,华微电子,20010316
600361,HLZC,华联综超,20011129
600362,JXTY,江西铜业,20020111
600363,LCGD,联创光电,20010329
600365,TPGF,通葡股份,20010115
600366,NBYS,宁波韵升,20001030
600367,HXFZ,红星发展,20010320
600368,WZJT,五洲交通,20001221
600369,XNZQ,西南证券,20010109
600370,SFX,三房巷,20030306
600371,WXDN,万向德农,20020916
600372,ZHDZ,中航电子,20010706
600373,ZWCM,中文传媒,20020304
600375,HLXM,华菱星马,20030401
600376,SKGF,首开股份,20010312
600377,NHGS,宁沪高速,20010116
600378,TKGF,天科股份,20010111
600379,BGGF,宝光股份,20020116
600380,JKY,健康元,20010608
600381,QHCT,青海春天,20010508
600382,GDMZ,广东明珠,20010118
600383,JDJT,金地集团,20010412
600385,SDJT,山东金泰,20010723
600386,BBCM,北巴传媒,20010216
600387,HYGF,海越股份,20040218
600388,LJHB,龙净环保,20001229
600389,JSGF,江山股份,20010110
600390,JRKJ,金瑞科技,20010115
600391,CFKJ,成发科技,20011212
600392,SHZY,盛和资源,20030529
600393,DHSY,东华实业,20010319
600395,PJGF,盘江股份,20010531
600396,JSGF,金山股份,20010328
600397,AYMY,安源煤业,20020702
600398,HLZJ,海澜之家,20001228
600399,FSTG,抚顺特钢,20001229
600400,HDGF,红豆股份,20010108
600401,*STHR,*ST海润,20030924
600403,DYNY,大有能源,20031009
600405,DLY,动力源,20040401
600406,GDNR,国电南瑞,20031016
600408,*STAT,*ST安泰,20030212
600409,SYHG,三友化工,20030618
600410,HSTC,华胜天成,20040427
600415,XSPC,小商品城,20020509
600416,XDGF,湘电股份,20020718
600418,JHQC,江淮汽车,20010824
600419,TRRY,天润乳业,20010628
600420,XDZY,现代制药,20040616
600421,YFKG,仰帆控股,20040607
600422,KYJT,昆药集团,20001206
600423,LHGF,柳化股份,20030717
600425,QSJH,青松建化,20030724
600426,HLHS,华鲁恒升,20020620
600428,ZYHY,中远航运,20020418
600429,SYGF,三元股份,20030915
600432,JENY,吉恩镍业,20030905
600433,GHGX,冠豪高新,20030619
600435,BFDH,北方导航,20030704
600436,PZH,片仔癀,20030616
600438,TWGF,通威股份,20040302
600439,RBK,瑞贝卡,20030710
600444,*STGT,*ST国通,20040219
600446,JZGF,金证股份,20031224
600448,HFGF,华纺股份,20010903
600449,NXJC,宁夏建材,20030829
600452,FLDL,涪陵电力,20040303
600455,BTGF,博通股份,20040329
600456,BTGF,宝钛股份,20020412
600458,SDXC,时代新材,20021219
600459,GYBY,贵研铂业,20030516
600460,SLW,士兰微,20030311
600461,HCSY,洪城水业,20040601
600462,SXZY,石岘纸业,20030903
600463,KGGF,空港股份,20040318
600466,LGFZ,蓝光发展,20010212
600467,HDJ,好当家,20040405
600468,BLDQ,百利电气,20010615
600469,FSGF,风神股份,20031021
600470,LGHG,六国化工,20040305
600475,HGGF,华光股份,20030721
600476,XYKJ,湘邮科技,20031210
600477,HXGG,杭萧钢构,20031110
600478,KLY,科力远,20030918
600479,QJYY,千金药业,20040312
600480,LYGF,凌云股份,20030815
600481,SLJN,双良节能,20030422
600482,FFGF,风帆股份,20040714
600483,FNGF,福能股份,20040531
600485,XWJT,信威集团,20030807
600486,YNHG,扬农化工,20020425
600487,HTGD,亨通光电,20030822
600488,TYGF,天药股份,20010618
600489,ZJHJ,中金黄金,20030814
600490,PXZY,鹏欣资源,20030626
600491,LYJS,龙元建设,20040524
600493,FZFZ,凤竹纺织,20040421
600495,JXCZ,晋西车轴,20040526
600496,JGGG,精工钢构,20020605
600497,CHXZ,驰宏锌锗,20040420
600498,FHTX,烽火通信,20010823
600499,KDJN,科达洁能,20021010
600500,ZHGJ,中化国际,20000301
600501,HTCG,航天晨光,20010615
600502,AHSL,安徽水利,20030415
600503,HLJZ,华丽家族,20020709
600505,XCDL,西昌电力,20020530
600506,XLGF,香梨股份,20011226
600507,FDTG,方大特钢,20030930
600508,SHNY,上海能源,20010829
600509,TFNY,天富能源,20020228
600510,HMD,黑牡丹,20020618
600511,GYGF,国药股份,20021127
600512,TDJS,腾达建设,20021226
600513,LHYY,联环药业,20030319
600515,HDJS,海岛建设,20020806
600516,FDTS,方大炭素,20020830
600517,ZXDQ,置信电气,20031010
600518,KMYY,康美药业,20010319
600519,GZMT,贵州茅台,20010827
600520,ZFKJ,中发科技,20020108
600521,HHYY,华海药业,20030304
600522,ZTKJ,中天科技,20021024
600523,GHGF,贵航股份,20011227
600525,CYJT,长园集团,20021202
600526,FDHB,菲达环保,20020722
600527,JNGX,江南高纤,20031127
600528,ZTEJ,中铁二局,20010528
600529,SDYB,山东药玻,20020603
600530,JDAL,交大昂立,20010702
600531,YGJQ,豫光金铅,20020730
600532,HDKY,宏达矿业,20021031
600533,QXJS,栖霞建设,20020328
600535,TSL,天士力,20020823
600536,ZGRJ,中国软件,20020517
600537,YJGD,亿晶光电,20030123
600538,GFGF,国发股份,20030114
600539,*STST,*ST狮头,20010824
600540,XSGF,新赛股份,20040107
600543,MGGF,莫高股份,20040324
600545,XJCJ,新疆城建,20031203
600546,SMGJ,山煤国际,20030731
600547,SDHJ,山东黄金,20030828
600548,SGS,深高速,20011225
600549,XMWY,厦门钨业,20021107
600550,BBDQ,保变电气,20010228
600551,SDCB,时代出版,20020905
600552,FXKJ,方兴科技,20021108
600555,JLS,九龙山,20010328
600556,HQKJ,慧球科技,20010807
600557,KYYY,康缘药业,20020918
600558,DXY,大西洋,20010227
600559,LBGJ,老白干酒,20021029
600560,JZTZ,金自天正,20020919
600561,JXCY,江西长运,20020716
600562,GRKJ,国睿科技,20030128
600563,FLDZ,法拉电子,20021210
600565,DMGF,迪马股份,20020723
600566,JCYY,济川药业,20010822
600567,SYZY,山鹰纸业,20011218
600568,ZZKG,中珠控股,20010518
600569,AYGT,安阳钢铁,20010820
600570,HSDZ,恒生电子,20031216
600571,XYD,信雅达,20021101
600572,KEB,康恩贝,20040412
600573,HQPJ,惠泉啤酒,20030226
600575,WJWL,皖江物流,20030328
600576,WHWJ,万好万家,20030220
600577,JDGF,精达股份,20020911
600578,JNDL,京能电力,20020510
600579,THY,天华院,20020809
600580,WLDQ,卧龙电气,20020606
600581,BYGT,八一钢铁,20020816
600582,TDKJ,天地科技,20020515
600583,HYGC,海油工程,20020205
600584,CDKJ,长电科技,20030603
600585,HLSN,海螺水泥,20020207
600586,JJKJ,金晶科技,20020815
600587,XHYL,新华医疗,20020927
600588,YYWL,用友网络,20010518
600589,GDRT,广东榕泰,20010612
600590,THKJ,泰豪科技,20020703
600592,LXGF,龙溪股份,20020805
600593,DLSY,大连圣亚,20020711
600594,YBZY,益佰制药,20040323
600595,ZFSY,中孚实业,20020626
600596,XAGF,新安股份,20010906
600597,GMRY,光明乳业,20020828
600598,BDH,北大荒,20020329
600599,XMJK,熊猫金控,20010828
600600,QDPJ,青岛啤酒,19930827
600601,FZKJ,方正科技,19901219
600602,YDDZ,仪电电子,19901219
600603,DZXY,大洲兴业,19920113
600604,SBGX,市北高新,19920327
600605,HTNY,汇通能源,19920327
600606,JFTZ,金丰投资,19920327
600608,*STHK,*ST沪科,19920327
600609,JBQC,金杯汽车,19920724
600610,ZYD,中毅达,19920805
600611,DZJT,大众交通,19920807
600612,LFX,老凤祥,19920814
600613,SQZY,神奇制药,19920820
600614,DLGF,鼎立股份,19920828
600615,FHGF,丰华股份,19920910
600616,JFJY,金枫酒业,19920929
600617,GXNY,国新能源,19921013
600618,LJHG,氯碱化工,19921113
600619,HLGF,海立股份,19921116
600620,TCGF,天宸股份,19921117
600621,HXGF,华鑫股份,19921202
600622,JBJT,嘉宝集团,19921203
600623,SQGF,双钱股份,19921204
600624,FDFH,复旦复华,19930105
600626,SDGF,申达股份,19930107
600628,XSJ,新世界,19930119
600629,LGSY,棱光实业,19930209
600630,LTGF,龙头股份,19930209
600633,ZBCM,浙报传媒,19930304
600634,ZJKG,中技控股,19930304
600635,DZGY,大众公用,19930304
600636,SAF,三爱富,19930316
600637,DFMZ,东方明珠,19930316
600638,XHP,新黄浦,19930326
600639,PDJQ,浦东金桥,19930326
600640,HBKG,号百控股,19930407
600641,WYQY,万业企业,19930407
600642,SNGF,申能股份,19930416
600643,AJGF,爱建股份,19930426
600644,*STLD,*ST乐电,19930426
600645,ZYXH,中源协和,19930504
600647,TDCY,同达创业,19930504
600648,WGQ,外高桥,19930504
